ID,NCP,SEC,GRU,NMANZ,NPARC,ZONA_ACTIVIDAD,CATEGORIA_TRIBUTARIA_PRELIMINAR,COEFICIENTE,CRITERIO
24863,0100010170020000--029--,17,2,0,29,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24864,0100010011520000--001--,1,152,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24865,0100010170010000--003--,17,1,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24866,0100010081790000--002--,8,179,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24867,0100010090690000--001--,9,69,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24868,0100010170020000--042--,17,2,0,42,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24869,0100010152010000--003--,15,201,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24870,0100010170020000--008--,17,2,0,8,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24871,0100010151130000--001--,15,113,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24872,0100010081800000--005--,8,180,0,5,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24873,0100010170010000--005--,17,1,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24874,0100010090690000--002--,9,69,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24875,0100010170010000--007--,17,1,0,7,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24876,0100010170030000--013--,17,3,0,13,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24877,0100010151800000--002--,15,180,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24878,0100010170020000--041--,17,2,0,41,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24879,0100010071660000--001--,7,166,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24880,0100010011500000--002--,1,150,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24881,0100010090030000--002--,9,3,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24882,0100010081800000--004--,8,180,0,4,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24883,0100010170010000--037--,17,1,0,37,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24884,0100010090690000--003--,9,69,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24885,0100010170020000--007--,17,2,0,7,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24886,0100010151360000--001--,15,136,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24887,0100010170030000--030--,17,3,0,30,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24888,0100010151810000--003--,15,181,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24889,0100010151590000--002--,15,159,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24890,0100010152010000--001--,15,201,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24891,0100010090250000--001--,9,25,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24892,0100010170010000--006--,17,1,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24893,0100010151360000--002--,15,136,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24894,0100010170020000--017--,17,2,0,17,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24895,0100010170020000--048--,17,2,0,48,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24896,0100010170030000--033--,17,3,0,33,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24897,0100010090040000--004--,9,4,0,4,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24898,0100010170020000--030--,17,2,0,30,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24899,0100010081790000--001--,8,179,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24900,0100010170030000--012--,17,3,0,12,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24901,0100010081650000--001--,8,165,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24902,0100010152010000--002--,15,201,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24903,0100010170010000--008--,17,1,0,8,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24904,0100010170020000--047--,17,2,0,47,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24905,0100010011530000--001--,1,153,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24906,0100010090250000--002--,9,25,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24907,0100010090470000--001--,9,47,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24908,0100010090910000--001--,9,91,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24909,0100010162450000--005--,16,245,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24910,0100010011560000--003--,1,156,0,3,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24911,0100010011500000--001--,1,150,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24912,0100010101370000--005--,10,137,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24913,0100010170030000--011--,17,3,0,11,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24914,0100010090470000--002--,9,47,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24915,0100010151590000--001--,15,159,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24916,0100010011490000--002--,1,149,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24917,0100010081800000--001--,8,180,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24918,0100010081640000--001--,8,164,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24919,0100010101140000--001--,10,114,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24920,0100010101370000--004--,10,137,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24921,0100010090470000--003--,9,47,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24922,0100010011540000--001--,1,154,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24923,0100010162230003--001--,16,223,3,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24924,0100010011540000--002--,1,154,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24925,0100010170020000--050--,17,2,0,50,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24926,0100010090470000--004--,9,47,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24927,0100010170030000--010--,17,3,0,10,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24928,0100010151810000--001--,15,181,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24929,0100010170020000--005--,17,2,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24930,0100010090040000--001--,9,4,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24931,0100010090040000--002--,9,4,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24932,0100010162450000--001--,16,245,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24933,0100010101140000--002--,10,114,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24934,0100010170020000--018--,17,2,0,18,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24935,0100010151810000--002--,15,181,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24936,0100010081620000--002--,8,162,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24937,0100010090700000--001--,9,70,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24938,0100010011560000--002--,1,156,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24939,0100010081630000--001--,8,163,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24940,0100010170010000--010--,17,1,0,10,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24941,0100010162450000--002--,16,245,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24942,0100010011490000--001--,1,149,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24943,0100010090700000--002--,9,70,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24944,0100010011470000--004--,1,147,0,4,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24945,0100010101370000--001--,10,137,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24946,0100010162660000--004--,16,266,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24947,0100010090040000--003--,9,4,0,3,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24948,0100010170020000--006--,17,2,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24949,0100010170010000--011--,17,1,0,11,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24950,0100010101600000--004--,10,160,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24951,0100010090700000--003--,9,70,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24952,0100010081610000--003--,8,161,0,3,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24953,0100010162660000--001--,16,266,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24954,0100010152020000--001--,15,202,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24955,0100010101600000--003--,10,160,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24956,0100010170030000--009--,17,3,0,9,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24957,0100010101370000--002--,10,137,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24958,0100010162660000--002--,16,266,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24959,0100010101370000--003--,10,137,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24960,0100010090260000--001--,9,26,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24961,0100010170020000--035--,17,2,0,35,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24962,0100010170020000--036--,17,2,0,36,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24963,0100010170020000--037--,17,2,0,37,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24964,0100010152020000--002--,15,202,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24965,0100010090920000--001--,9,92,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24966,0100010011560000--001--,1,156,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24967,0100010011480000--001--,1,148,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24968,0100010011470000--003--,1,147,0,3,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24969,0100010011460000--001--,1,146,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24970,0100010090260000--002--,9,26,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24971,0100010170020000--019--,17,2,0,19,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24972,0100010170020000--034--,17,2,0,34,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24973,0100010101600000--001--,10,160,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24974,0100010162660000--003--,16,266,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24975,0100010170020000--038--,17,2,0,38,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24976,0100010170010000--012--,17,1,0,12,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24977,0100010170020000--039--,17,2,0,39,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24978,0100010090920000--002--,9,92,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24979,0100010081610000--002--,8,161,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24980,0100010170020000--004--,17,2,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24981,0100010011470000--001--,1,147,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24982,0100010170030000--008--,17,3,0,8,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24983,0100010101600000--002--,10,160,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24984,0100010170020000--024--,17,2,0,24,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24985,0100010170010000--013--,17,1,0,13,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24986,0100010170020000--049--,17,2,0,49,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24987,0100010101600000--005--,10,160,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24988,0100010162870000--001--,16,287,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24989,0100010170020000--023--,17,2,0,23,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24990,0100010081610000--001--,8,161,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24991,0100010011470000--002--,1,147,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24992,0100010170020000--033--,17,2,0,33,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24993,0100010011310000--001--,1,131,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24994,0100010162240000--001--,16,224,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24995,0100010102030000--006--,10,203,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24996,0100010101820000--001--,10,182,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24997,0100010162870000--002--,16,287,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24998,0100010170020000--032--,17,2,0,32,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24999,0100010101150000--001--,10,115,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25000,0100010021570000--001--,2,157,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25001,0100010090480000--002--,9,48,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25002,0100010162460000--001--,16,246,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25003,0100010101820000--002--,10,182,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25004,0100010163060000--001--,16,306,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25005,0100010102030000--007--,10,203,0,7,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25006,0100010090710000--001--,9,71,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25007,0100010101380000--001--,10,138,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25008,0100010170020000--003--,17,2,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25009,0100010011450000--002--,1,145,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25010,0100010170020000--031--,17,2,0,31,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25011,0100010102030000--005--,10,203,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25012,0100010101820000--003--,10,182,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25013,0100010163060000--002--,16,306,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25014,0100010101380000--002--,10,138,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25015,0100010090490000--003--,9,49,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25016,0100010011320000--001--,1,132,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25017,0100010090710000--004--,9,71,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25018,0100010102030000--001--,10,203,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25019,0100010170030000--006--,17,3,0,6,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25020,0100010170030000--007--,17,3,0,7,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25021,0100010170020000--022--,17,2,0,22,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25022,0100010090050000--001--,9,5,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25023,0100010102030000--002--,10,203,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25024,0100010021600000--002--,2,160,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25025,0100010011330000--001--,1,133,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25026,0100010163060000--003--,16,306,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25027,0100010090710000--006--,9,71,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25028,0100010102030000--003--,10,203,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25029,0100010162460000--002--,16,246,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25030,0100010090710000--007--,9,71,0,7,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25031,0100010102030000--009--,10,203,0,9,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25032,0100010101380000--003--,10,138,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25033,0100010011330000--002--,1,133,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25034,0100010090710000--008--,9,71,0,8,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25035,0100010170020000--021--,17,2,0,21,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25036,0100010021590000--001--,2,159,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25037,0100010011450000--001--,1,145,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25038,0100010102030000--004--,10,203,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25039,0100010101830000--003--,10,183,0,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25040,0100010011330000--003--,1,133,0,3,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25041,0100010021440000--002--,2,144,0,2,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25042,0100010101830000--002--,10,183,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25043,0100010090490000--004--,9,49,0,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25044,0100010090270000--001--,9,27,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25045,0100010170030000--005--,17,3,0,5,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25046,0100010021580000--001--,2,158,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25047,0100010123230000--001--,12,323,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25048,0100010090930000--001--,9,93,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25049,0100010162670000--001--,16,267,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25050,0100010102040000--006--,10,204,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25051,0100011020010000--001--,102,1,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25052,0100010090490000--001--,9,49,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25053,0100010021600000--001--,2,160,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25054,0100010021440000--001--,2,144,0,1,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
25055,0100010101610000--001--,10,161,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25056,0100010090720000--002--,9,72,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25057,0100010101390000--002--,10,139,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
25058,0100010123240000--022--,12,324,0,22,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
